sense-21043476,synset-19435,word-11027790,
sense-21010607-i1,synset-16714,word-11006881,
sense-21043000,synset-13082,word-11027493,
sense-22019450,synset-54605,word-53002589,
sense-21010049,synset-17866,word-11006550,
sense-21046629,synset-35504,word-11029799,
sense-21029579,synset-3037,word-11019248,
sense-21037549,synset-26288,word-11024005,
sense-21005258-i1,synset-s21005258-d1,word-s21005258,
sense-21000568-i1,synset-s21000568-d1,word-s21000568,
sense-21035069,synset-47533,word-11022498,
sense-21074935,synset-25785,word-11047486,
sense-21008539,synset-2768,word-11005570,jargon
sense-21017057,synset-34275,word-11011359,
sense-21092744,synset-60067,word-12005203,
sense-91005541,synset-13027,word-11043599,
sense-21027699,synset-43171,word-11018103,
sense-21087730,synset-75076,word-12002270,
sense-28120503,synset-66491,word-50002087,
sense-21003538,synset-66887,word-11002407,
sense-21096828,synset-2735,word-12007664,
sense-21069334-i2,synset-48032,word-11044171,
sense-21013105,synset-8326,word-11008762,
sense-21055426,synset-68685,word-11035352,
sense-21000918,synset-45727,word-11000614,
sense-21054679,synset-35156,word-11034916,
sense-22013936,synset-56874,word-53001654,
sense-21042595,synset-68850,word-11027230,
sense-21051438,synset-19632,word-11032635,
sense-91002109,synset-19212,word-11017014,sj.
sense-28089942,synset-64938,word-40004302,
sense-21035687,synset-6734,word-11022857,
sense-21010269,synset-33364,word-11006676,sj.
sense-22009693,synset-51109,word-50002909,
sense-28005321,synset-78737,word-30000581,
sense-21093981,synset-62069,word-12006021,
sense-21088548,synset-18494,word-12002707,
sense-21070111,synset-15396,word-11044659,
sense-21009937,synset-29664,word-11006487-30,
sense-21083309,synset-41600,word-11052140,
sense-28025188,synset-53751,word-50002413,
sense-21074962,synset-68408,word-11047506,
sense-21078892,synset-32919,word-11049683,
sense-21054569,synset-3513,word-11034840,
sense-21004120,synset-20825,word-11002794,
sense-21058713,synset-45724,word-11037398,
sense-21055976,synset-37564,word-11035747,
sense-21079743,synset-13431,word-11050211,
sense-21026794,synset-37367,word-11017484,
sense-21047702,synset-s21047702,word-s21047702,
sense-21012709,synset-47872,word-11008506,
sense-21069226,synset-20061,word-11044094,
sense-21092061-i2,synset-25870,word-12004759,
sense-28071742,synset-58583,word-30000332,
sense-28005531,synset-56311,word-30000704,
sense-91000267,synset-48009,word-11001945,
sense-21007978,synset-17601,word-11005235,
sense-21047941,synset-15849,word-11030553,
sense-23002489,synset-77202,word-temporary_517,
sense-21013590,synset-9465,word-11009100-8,
sense-21058609,synset-8560,word-11037346,
sense-22028420,synset-52402,word-53004249,
sense-91007075,synset-2957,word-12001637,
sense-21032364,synset-s21032364,word-s21032364,
sense-21041232,synset-63495,word-11026465,
sense-91005219,synset-32119,word-11041113,sj.
sense-21066214,synset-49359,word-11042297,
sense-22030055,synset-72989,word-53004601,
sense-21040469,synset-66344,word-11026036,
sense-91003350,synset-19794,word-11026390,
sense-21015158,synset-6445,word-11010114,
sense-21038864,synset-1831,word-11024932,
sense-21053309,synset-70799,word-11033951,
sense-28112566,synset-s28112566,word-s28112566,
sense-21096285,synset-35771,word-12007379,
sense-21093739,synset-s21093739,word-s21093739,
sense-28111799,synset-57283,word-53005938,
sense-21073799,synset-49015,word-11046925,
sense-21079260,synset-72783,word-11049897,sj.
sense-21036727,synset-1938,word-11023495,
sense-21022499,synset-10049,word-11014802,
sense-21086448,synset-69719,word-12001366,
sense-21002531,synset-46524,word-11001700,
sense-21072530,synset-47529,word-11046130,
sense-21084890,synset-11712,word-12000352,
sense-21037502,synset-41935,word-11023971,
sense-21063565,synset-17580,word-11040548,
sense-21067822,synset-8555,word-11043324,
sense-28012051,synset-52209,word-40001043,
sense-21040782,synset-9977,word-11026205,
sense-52000250,synset-s52000250,word-s52000250,
sense-21066954,synset-34670,word-11042776,
sense-28128963,synset-61831,word-53002786,især hist.
sense-21082461,synset-6300,word-11051660,alm. i historiske tekster
sense-21072498,synset-14373,word-11046112,
sense-21070511,synset-11539,word-11044900,
sense-21082960,synset-30829,word-11051941,
sense-21097023,synset-6126,word-12007817,
sense-21014738,synset-41498,word-11009856,
sense-21013852,synset-s21013852,word-s21013852,
sense-21050127,synset-58803,word-11031788,
sense-21093889,synset-24026,word-12005971,
sense-21063226,synset-42094,word-11040278,
sense-21012475,synset-18896,word-11008336,
sense-21089569,synset-3872,word-12003320,
sense-21056020,synset-44547,word-11035773,
sense-21032275,synset-7531,word-11020868,
sense-21088604,synset-57458,word-12002748,
sense-22019561,synset-64237,word-50006322,
sense-21094955,synset-68449,word-12006566,
sense-21013903,synset-18923,word-11009321,
sense-21070768,synset-6786,word-11045090,
sense-28112388,synset-58618,word-50009606,
sense-21059265,synset-29694,word-11037717,
sense-28020662,synset-52076,word-30001203,
sense-21000836,synset-13895,word-11000550,
sense-21094695,synset-29071,word-12006425,
sense-21007876,synset-63425,word-11005159,
sense-28110054,synset-74405,word-53401022,
sense-21051569-i1,synset-s21051569-d1,word-s21051569,
sense-21058696,synset-35439,word-11037390,
sense-21029664-i2,synset-25931,word-11019307,
sense-21010498,synset-12894,word-11006823,
sense-21013967,synset-48910,word-11009361,
sense-28092455,synset-55937,word-50009389,
sense-21074320,synset-4283,word-11047177,
sense-28125443,synset-51217,word-53006034,
sense-28091956,synset-55665,word-40004337,
sense-28036775,synset-55930,word-50003552,
sense-28001875,synset-56792,word-30001081,
sense-52000181,synset-s52000181-d1; synset-s52000181-d2,word-s52000181,
sense-91003279,synset-40876,word-11025958,
sense-21009431,synset-39282,word-11006181,
sense-23000040,synset-8822,word-35000039-0,
sense-91004619,synset-67564,word-11036819,
sense-22029707,synset-56149,word-53202238,
sense-21071122,synset-78087,word-11045256,
sense-22020517,synset-51796,word-53002806,
sense-21067550,synset-17473,word-11043157,
sense-21025187,synset-22657,word-11016517,
sense-21040304,synset-40118,word-11025898,
sense-21055567,synset-34775,word-11035477,
sense-21074830,synset-44644,word-11047425,
sense-21049461,synset-7966,word-11031480,
sense-21069334-i1,synset-16925,word-11044171,
sense-21078653,synset-74703,word-11049572,
sense-28127459,synset-59336,word-53001076,
sense-21094819,synset-21433,word-12006521,
sense-21064884-i1,synset-6819,word-11041435,
sense-21010603,synset-16712,word-11006878,
sense-28125929,synset-64817,word-53002722,
sense-21027326,synset-6874,word-11017877,
sense-21058961,synset-34339,word-11037539,
sense-21086110,synset-s21086110,word-s21086110,
sense-21078968,synset-62804,word-11049732,
sense-21088195,synset-46370,word-12002569,
sense-22035034,synset-54846,word-53005548,
sense-21093221,synset-34491,word-12005523,
sense-21043209,synset-40940,word-11027644,
sense-22021699,synset-53869,word-53003014,
sense-21022346,synset-68668,word-11014726,
sense-21025646,synset-9475,word-11016796,
sense-21068195,synset-47666,word-11043530,
sense-91003955,synset-12225,word-11031544,
sense-21092444,synset-17237,word-12005001,
sense-21015718,synset-26882,word-11010441,
sense-21006764,synset-67852,word-11004435,
sense-28111663,synset-53074,word-53005884,
sense-21027691,synset-1887,word-11018098,
sense-21066085,synset-64038,word-11042199,
sense-21072825,synset-75089,word-11046291,
sense-21032177,synset-19242,word-11020809,
sense-28039304,synset-55822,word-50003866,
sense-21041915,synset-26037,word-11026821,
sense-21088051,synset-44947,word-12002472-3,
sense-28067697,synset-63913,word-30000501,
sense-21037504,synset-18278,word-11023974,
sense-28044146,synset-53533,word-40002128,
sense-21025949,synset-68670,word-11016956,
sense-21061500,synset-15090,word-11039110,
sense-21087851,synset-70690,word-12002364,
sense-21009979,synset-10177,word-11006508,
sense-21018140,synset-18193,word-11012141,
sense-21053942,synset-40898,word-11034357,
sense-21032093,synset-13202,word-11020754,
sense-21026704,synset-38016,word-11017418,
sense-21049716,synset-45843,word-11031606,
sense-22018612,synset-52793,word-53200802,
sense-21024727,synset-13485,word-11016228,
sense-21095430,synset-41144,word-12006852,
sense-28011744,synset-53851,word-40000999,
sense-22033675,synset-70142,word-50010418,
sense-21095728,synset-30310,word-12007040,
sense-21080766,synset-43239,word-11050730-1,
sense-22028211,synset-58208,word-53202172,
sense-21008193,synset-18783,word-11005369,
sense-21095572,synset-16628,word-12006935,
sense-21017877,synset-14014,word-11011947,
sense-21037689,synset-27536,word-11024106,
sense-21025763,synset-30031,word-11016848-15,
sense-21097404,synset-79036,word-12008072,
sense-22034119,synset-56142,word-53202403,
sense-21008225,synset-28959,word-11005380,
sense-28125129,synset-52044,word-53005296,
sense-28110490,synset-58348,word-53201422,
sense-28111334-i1,synset-s28111334-d1,word-s28111334,
sense-21012991,synset-27690,word-11008684,
sense-21078327,synset-2930,word-11049412,
sense-28109981,synset-68296,word-53400801,
sense-21002471,synset-42817,word-11001660,
sense-21034063,synset-67984,word-11021937,
sense-21062544,synset-11722,word-11039838,
sense-21011462,synset-2525,word-11007534,
sense-21003334,synset-22604,word-11002240,
sense-21060612,synset-5814,word-11038510,
sense-21011837,synset-1721,word-11007839,
sense-21040485,synset-3096,word-11026050,
sense-21069400,synset-64392,word-11044214,
sense-21077664,synset-71385,word-11049041,
